City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aljezur,37.32,-8.8,54.0,88,0,5.01,PT,1606087941
Umm Kaddadah,13.6,26.69,68.7,24,0,15.26,SD,1606087943
Teknāf,20.86,92.31,68.59,83,59,5.44,BD,1606087944
Ust-Tsilma,65.44,52.15,26.2,91,100,12.55,RU,1606087946
Kukuna,9.4,-12.67,75.49,91,2,2.91,SL,1606087948
Baillif,16.02,-61.75,78.8,78,6,9.17,GP,1606087949
Maniitsoq,65.42,-52.9,21.79,92,100,13.2,GL,1606087950
Muhafazat Lahij,13.17,44.58,71.08,84,86,2.06,YE,1606087952
Biltine,14.53,20.92,72.14,25,88,11.05,TD,1606087953
Tuktoyaktuk,69.45,-133.04,1.4,84,20,18.34,CA,1606087954
Muğla Province,37.23,28.36,50.0,75,0,1.12,TR,1606087770
Bibiani,6.46,-2.32,73.22,93,79,2.13,GH,1606087958
Bukachacha,52.98,116.92,11.08,90,32,2.73,RU,1606087960
Vrangel',42.73,133.08,23.72,83,0,9.4,RU,1606087961
Al Bardīyah,31.76,25.09,64.2,74,47,10.49,LY,1606087962
Riyadh,24.69,46.72,62.6,48,0,3.36,SA,1606087847
Mishkino,55.34,63.92,16.23,93,90,5.46,RU,1606087965
Larsnes,62.2,5.58,41.0,78,98,11.99,NO,1606087966
Jega,12.22,4.38,75.02,23,16,8.19,NG,1606087967
Ségou,13.43,-6.22,74.97,19,57,9.06,ML,1606087969
Ribera,37.5,13.26,55.0,78,42,1.99,IT,1606087970
Iqaluit,63.75,-68.51,21.2,67,75,4.7,CA,1606087971
Pisco,-13.7,-76.22,66.2,77,0,18.34,PE,1606087972
Parksville,49.32,-124.32,44.6,87,100,14.99,CA,1606087974
Bougouni,11.42,-7.48,72.79,29,39,2.75,ML,1606087891
Karla,59.37,24.93,43.0,87,40,12.75,EE,1606087977
Puerto Escondido,15.85,-97.07,84.2,70,20,9.17,MX,1606087979
Payson,40.04,-111.73,45.0,60,40,5.82,US,1606087980
Soke,13.6,-5.94,74.7,19,36,9.19,ML,1606087981
Yamada,39.47,141.95,49.28,61,63,6.15,JP,1606087983
Ozieri,40.59,9.0,45.0,86,0,4.7,IT,1606087793
Pacific Grove,36.62,-121.92,55.99,76,1,6.93,US,1606087900
Australind,-33.27,115.72,71.64,46,0,4.74,AU,1606087987
Hongjiang,27.11,110.0,46.04,86,100,3.04,CN,1606087988
Gushikawa,26.35,127.87,73.4,88,75,12.75,JP,1606087989
Barbosa Ferraz,-24.03,-52.01,86.0,33,20,3.0,BR,1606087990
Cheyenne,41.14,-104.82,35.6,31,1,14.99,US,1606087992
Navalmoral de la Mata,39.89,-5.54,45.0,76,0,1.77,ES,1606087993
Ipixuna,-1.76,-48.8,73.4,94,90,20.8,BR,1606087994
Krasnovishersk,60.41,57.08,19.22,94,100,10.42,RU,1606087996
Aksu,41.12,80.26,25.23,67,100,4.5,CN,1606087997
Sittwe,20.15,92.9,71.56,83,24,7.27,MM,1606087998
Mengyin,35.71,117.93,32.52,74,20,2.37,CN,1606088000
Terrace,54.52,-128.6,32.0,88,90,2.24,CA,1606088002
Bonthe,7.53,-12.51,79.09,82,26,5.79,SL,1606088003
Yiyang,28.59,112.33,44.15,89,100,8.37,CN,1606088005
Egvekinot,66.32,-179.17,21.42,98,100,9.95,RU,1606088006
Kouango,4.99,19.96,73.15,75,83,0.38,CF,1606088008
Taoudenni,22.68,-3.98,61.34,30,0,17.67,ML,1606088010
Jiwani,25.05,61.74,73.81,68,0,7.99,PK,1606088011
Presidente Venceslau,-21.88,-51.84,86.0,25,0,1.12,BR,1606088012
Port Hardy,50.7,-127.42,44.6,87,75,13.87,CA,1606088014
Kita,13.03,-9.49,72.64,23,4,4.18,ML,1606088016
Oil City,41.43,-79.71,46.99,93,90,16.11,US,1606088017
Sitka,57.05,-135.33,42.8,60,90,14.99,US,1606088018
Talnakh,69.49,88.4,12.2,92,75,4.47,RU,1606088020
Béjar,40.39,-5.76,45.0,76,0,3.8,ES,1606088021
Horizontina,-27.63,-54.31,72.18,48,0,5.97,BR,1606088022
Nouna,12.73,-3.87,73.85,19,11,6.24,BF,1606088023
Cap-aux-Meules,47.38,-61.86,32.0,86,97,4.7,CA,1606087982
Hohhot,40.81,111.65,3.2,84,0,4.47,CN,1606087845
Channel-Port aux Basques,47.57,-59.14,29.34,89,67,7.29,CA,1606088027
Eenhana,-17.47,16.33,84.2,45,77,5.82,NA,1606088030
Izhma,65.01,53.91,23.81,92,100,14.16,RU,1606088031
Comodoro Rivadavia,-45.87,-67.5,68.0,32,0,13.87,AR,1606088032
Andros Town,24.7,-77.77,78.8,78,40,8.05,BS,1606088034
Sur,22.57,59.53,72.16,50,0,5.77,OM,1606088035
Penzance,50.12,-5.54,44.6,100,13,2.24,GB,1606088036
Sørland,67.67,12.69,40.82,82,98,23.73,NO,1606088038
Fushë-Arrëz,42.06,20.02,38.75,75,0,3.36,AL,1606088040
Kamenka,51.32,42.77,24.01,92,95,7.31,RU,1606088042
Sisimiut,66.94,-53.67,22.68,91,99,17.6,GL,1606088043
Banjar,-8.19,114.97,80.6,83,20,2.91,ID,1606088044
Acaraú,-2.89,-40.12,80.46,70,45,16.11,BR,1606088045
Tshikapa,-6.42,20.8,70.68,91,78,1.68,CD,1606088047
Sirte,31.21,16.59,67.95,52,0,18.79,LY,1606088048
Banff,51.18,-115.57,32.0,73,58,6.93,CA,1606088049
Kuusamo,65.97,29.18,32.0,97,90,10.29,FI,1606087838
Datong,40.09,113.29,17.58,76,0,2.39,CN,1606088052
Anjozorobe,-18.4,47.87,66.2,88,75,6.93,MG,1606088053
Takoradze,4.88,-1.76,78.35,86,22,8.12,GH,1606088056
Pāsighāt,28.07,95.33,55.58,59,15,3.98,IN,1606088057
Jonuta,18.08,-92.13,73.53,90,5,5.66,MX,1606088058
Kununurra,-15.77,128.73,82.4,74,87,4.7,AU,1606087994
Shubarkuduk,49.14,56.49,19.45,91,100,5.5,KZ,1606088061
Shikarpur,27.96,68.64,55.4,82,5,10.58,PK,1606088062
Grand Forks,47.94,-97.43,26.6,79,90,10.29,US,1606088063
Verkhnyaya Tula,54.88,82.78,21.2,92,90,4.47,RU,1606088065
Westport,41.14,-73.36,51.8,81,90,20.8,US,1606088026
Dingle,11.0,122.67,79.88,85,83,12.88,PH,1606088068
Chara,56.91,118.26,4.86,81,37,4.88,RU,1606088069
Rugineşti,46.07,27.12,30.2,92,0,2.24,RO,1606088071
Nelson Bay,-32.72,152.15,80.01,73,0,5.82,AU,1606088073
Kangaatsiaq,68.31,-53.46,27.19,93,100,25.05,GL,1606088075
Borogontsy,62.67,131.17,-20.27,87,11,3.11,RU,1606088076
Acapulco de Juárez,16.86,-99.89,84.2,74,20,6.93,MX,1606088077
Delfzijl,53.33,6.92,42.01,94,88,4.0,NL,1606088079
Aykhal,66.0,111.5,6.8,92,75,4.47,RU,1606088080
Ust'-Ishim,57.69,71.17,13.87,96,5,3.91,RU,1606088082
Canmore,51.08,-115.35,32.0,73,82,6.93,CA,1606087790
Currais Novos,-6.26,-36.52,75.0,64,2,22.97,BR,1606088085
Tromsø,69.65,18.96,32.0,92,75,18.34,NO,1606088088
Alice,27.75,-98.07,91.4,57,90,10.29,US,1606088089
Takaungu,-3.68,39.86,80.6,88,40,5.12,KE,1606088090
Toccoa,34.58,-83.33,60.8,77,1,3.27,US,1606087849
Mongo,12.18,18.69,77.67,24,100,6.35,TD,1606088093
Meitingen,48.55,10.85,35.01,82,100,2.57,DE,1606088094
Kalangala,-0.31,32.23,71.6,83,20,3.36,UG,1606088096
Merauke,-8.47,140.33,84.4,73,98,8.66,ID,1606087844
Mahibadhoo,3.78,72.97,82.31,70,87,5.1,MV,1606088098
San Quintín,30.48,-115.95,65.66,74,86,11.21,MX,1606088100
Jaca,42.57,-0.55,41.0,75,0,1.03,ES,1606088101
Comrat,46.3,28.66,33.82,89,88,7.45,MD,1606088103
Baripāda,21.93,86.72,61.18,47,0,6.8,IN,1606088104
Srednekolymsk,67.45,153.68,3.88,94,100,8.84,RU,1606088106
Nouakchott,18.09,-15.98,77.0,20,8,10.29,MR,1606088089
Manassas,38.75,-77.48,57.2,71,90,6.89,US,1606087873
Port-Cartier,50.03,-66.87,23.0,67,69,4.12,CA,1606088110
Atikokan,48.76,-91.62,26.02,97,95,8.77,CA,1606088111
Tabou,4.42,-7.35,78.15,87,99,7.87,CI,1606088113
Lipovtsy,44.2,131.72,8.89,91,0,4.59,RU,1606088115
Geraldton,-28.77,114.6,73.4,35,0,5.82,AU,1606087862
Karasjok,69.47,25.51,24.8,92,75,9.17,NO,1606088118
Arona,28.1,-16.68,75.2,25,0,14.99,ES,1606088119
Shirokiy,49.76,129.52,14.67,96,100,9.8,RU,1606088120
Aksaray,38.37,34.03,24.8,92,0,2.24,TR,1606088122
Tianpeng,30.99,103.94,46.0,1,95,1.9,CN,1606088123
Cap Malheureux,-19.98,57.61,73.0,78,5,5.99,MU,1606088124
Davila,18.47,120.58,80.6,61,20,6.93,PH,1606088126
Båtsfjord,70.63,29.72,32.0,95,75,6.93,NO,1606088127
Los Llanos de Aridane,28.66,-17.92,69.8,68,20,8.05,ES,1606088128
Shache,38.42,77.24,18.95,77,92,6.89,CN,1606088130
Tazovsky,67.47,78.7,11.39,95,57,11.16,RU,1606088131
Rocha,-34.48,-54.33,56.52,88,0,7.16,UY,1606088132
Abalak,58.13,68.59,12.29,95,3,5.19,RU,1606088134
Nicoya,10.15,-85.45,78.8,88,75,4.7,CR,1606088135
Nemuro,43.32,145.57,36.14,81,100,14.72,JP,1606088136
Dehui,44.53,125.7,10.4,78,0,11.18,CN,1606088120
Yining,29.04,114.56,45.28,91,100,2.08,CN,1606088139
Cocobeach,1.0,9.58,77.0,94,75,8.05,GA,1606088140
Yeppoon,-23.13,150.73,80.6,44,20,8.05,AU,1606088141
Rundu,-17.93,19.77,72.07,75,78,3.58,NA,1606088143
Kahului,20.89,-156.47,82.4,65,40,23.04,US,1606088084
Zacualpan,21.25,-105.17,86.0,51,5,8.05,MX,1606088146
Karabulak,43.3,44.9,32.0,93,81,8.95,RU,1606088147
Kenora,49.82,-94.43,15.8,85,90,10.29,CA,1606088149
Fortuna,40.6,-124.16,51.01,87,40,6.93,US,1606088151
Padang,-0.95,100.35,78.12,79,100,3.98,ID,1606088152
Nueve de Julio,-35.44,-60.88,78.01,48,0,4.0,AR,1606088154
Storforshei,66.4,14.52,36.0,93,98,4.14,NO,1606088155
Ixtapa,20.7,-105.2,81.0,83,40,9.17,MX,1606088158
Viedma,-40.81,-63.0,69.01,49,96,16.82,AR,1606088159
Saucillo,28.02,-105.28,75.06,26,0,9.95,MX,1606088161
Deniliquin,-35.53,144.97,72.0,68,83,10.58,AU,1606088162
Nālūt,30.33,10.85,49.75,79,36,3.51,LY,1606088164
West Bay,19.37,-81.42,81.0,88,75,5.82,KY,1606088166
Talcahuano,-36.72,-73.12,64.4,68,0,12.75,CL,1606088168
Plastun,44.76,136.29,19.44,82,0,6.67,RU,1606088170
Rovenki,48.08,39.38,24.82,99,96,5.57,UA,1606088171
Panabá,21.28,-88.27,72.91,92,6,7.2,MX,1606088173
Abéché,13.83,20.83,72.82,25,100,9.6,TD,1606088174
Ust-Maya,60.42,134.53,-8.34,90,98,2.59,RU,1606088176
Sovetskaya Gavan',48.97,140.29,17.04,78,0,10.0,RU,1606088177
Batasan,12.77,120.78,82.02,66,82,6.93,PH,1606088178
Balyqshy,47.07,51.87,23.0,57,0,11.18,KZ,1606088180
Kajaani,64.23,27.73,35.6,93,90,11.41,FI,1606088181
Luleå,65.58,22.15,32.0,93,100,4.7,SE,1606087946
Kontagora,10.4,5.47,73.13,37,6,4.47,NG,1606088184
Vagay,57.94,69.02,13.17,95,7,4.54,RU,1606088185
Parfen'yevo,58.48,43.41,25.77,97,100,11.59,RU,1606088186
Oriximiná,-1.77,-55.87,75.25,86,99,2.95,BR,1606088188
Half Moon Bay,37.46,-122.43,57.99,81,90,16.11,US,1606088189
Cururupu,-1.83,-44.87,77.56,85,100,3.58,BR,1606088190
Qaqortoq,60.72,-46.03,21.2,73,100,2.24,GL,1606088192
Mahbūbābād,17.62,80.02,68.13,81,94,2.17,IN,1606088193
Iralaya,15.0,-83.23,79.57,83,84,6.29,HN,1606088194
Zhangaözen,43.3,52.8,26.62,73,100,18.66,KZ,1606088196
Naze,28.37,129.48,69.8,83,75,17.22,JP,1606088198
Tezu,27.92,96.17,56.98,50,11,3.71,IN,1606088199
Rosetta,31.4,30.42,62.6,88,40,3.36,EG,1606088201
Lethem,3.38,-59.8,75.4,88,100,2.26,GY,1606088202
Motygino,58.18,94.76,16.07,97,100,5.84,RU,1606088204
Bulawayo,-20.15,28.58,69.62,65,67,3.15,ZW,1606087925
Bowen,-20.02,148.23,82.4,51,90,12.75,AU,1606088207
Clarence Town,-32.58,151.78,80.01,73,0,5.82,AU,1606088208
Juba,4.85,31.58,81.28,44,63,3.29,SS,1606088207
Malpe,13.35,74.72,71.6,88,50,5.82,IN,1606088211
Yārāda,17.65,83.27,77.0,88,75,2.24,IN,1606088212
Bunia,1.57,30.25,63.14,85,18,1.95,CD,1606088213
Wakkanai,45.41,141.67,31.3,89,100,14.67,JP,1606088215
Honiara,-9.43,159.95,86.0,70,20,6.93,SB,1606088190
Mangai,-4.05,19.53,70.81,93,49,1.66,CD,1606088217
Wawa,9.9,4.42,76.21,45,19,4.12,NG,1606088219
Ambilobe,-13.2,49.05,73.38,80,6,4.18,MG,1606088220
Assiniboia,49.63,-105.98,19.4,85,32,5.82,CA,1606088221
Chapais,49.78,-74.85,17.6,85,75,6.93,CA,1606088223
Bela,25.93,81.98,56.48,37,38,2.59,IN,1606088224
Innisfail,-17.53,146.03,77.0,60,15,8.01,AU,1606088225
Korba,22.35,82.68,54.9,48,0,5.14,IN,1606088227
Aklavik,68.22,-135.01,3.2,84,93,11.41,CA,1606088228
